----Player Bike Data: ID 0, HRmax: 191.2----
DateTime: 27/03/2024 4:02:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:02:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:02 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:07 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:22 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:03:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:04:02 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:04:07 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:04:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:04:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 4:04:22 p.m., RPM: 0, HR: 0, Speed: 0
